minx    miny    width    height    
608    0    120    3    
751    3    17    37    
768    35    1    415    
525    68    15    22    
573    215    15    18    
632    299    24    21    
750    306    15    22    
640    318    19    18    
641    334    25    21    
604    338    17    14    
622    363    17    16    
567    429    25    16    
633    434    14    18    
605    455    17    18    
579    476    21    17    
754    507    13    38    
589    522    22    14    
594    527    30    18    
639    560    16    20    
751    563    16    25    
590    588    19    19    
469    595    27    22    
519    611    32    34    
404    618    12    44    
600    640    20    19    
469    659    13    17    
590    677    20    18    
768    678    1    130    
451    681    16    19    
693    697    16    11    
695    698    46    47    
458    700    21    12    
663    703    24    19    
583    716    24    15    
524    719    30    16    
466    720    37    26    
432    730    22    11    
584    747    18    11    
453    756    29    18    
627    775    32    39    
613    815    58    53    
748    823    19    17    
564    827    22    23    
710    841    42    34    
640    894    17    22    
693    920    24    20    
732    989    19    35    
749    989    19    31    
