minx    miny    width    height    
186    0    25    9    
207    0    27    10    
404    0    132    7    
506    0    121    7    
629    0    60    6    
705    0    34    6    
781    0    29    5    
579    6    43    3    
368    52    17    21    
290    68    21    15    
188    90    24    29    
371    92    18    18    
726    96    78    134    
763    168    5    33    
416    172    19    27    
188    206    18    33    
306    212    78    152    
188    325    10    37    
251    336    154    107    
266    445    41    30    
225    460    19    19    
292    477    25    14    
202    485    57    69    
301    485    277    331    
358    493    18    21    
351    602    25    24    
399    613    18    24    
215    617    24    16    
230    627    34    34    
285    635    28    16    
273    652    31    20    
232    666    22    15    
189    675    31    20    
464    698    26    27    
322    700    28    16    
363    722    32    23    
307    727    20    14    
408    731    22    13    
379    772    41    23    
209    780    28    23    
402    810    45    37    
259    829    51    42    
370    869    34    26    
