minx    miny    width    height    
607    0    95    2    
189    1    6    32    
563    2    274    338    
767    2    70    43    
189    79    13    16    
823    80    14    40    
529    96    17    23    
807    101    18    18    
837    151    1    153    
806    279    16    18    
646    329    23    12    
818    404    18    25    
545    423    19    18    
688    440    124    71    
754    441    24    9    
597    483    21    17    
517    484    16    18    
579    499    26    19    
550    534    25    15    
441    550    26    22    
571    562    15    15    
618    590    13    18    
661    615    20    15    
576    628    22    21    
599    633    27    34    
485    657    15    15    
595    657    16    18    
583    682    18    16    
626    683    16    20    
511    691    19    25    
430    703    15    22    
441    718    26    18    
469    722    27    21    
488    739    27    28    
821    743    16    17    
469    746    21    18    
440    759    19    27    
402    785    26    32    
480    797    32    14    
456    802    13    29    
637    803    21    21    
636    853    22    15    
457    857    87    70    
826    869    11    42    
824    958    13    28    
824    989    13    14    
