minx    miny    width    height    
596    0    100    3    
602    2    111    187    
699    197    12    44    
499    236    28    58    
694    252    17    51    
574    390    12    22    
573    413    17    26    
553    434    11    27    
577    436    21    25    
585    454    26    22    
543    478    16    13    
518    485    14    21    
579    485    54    60    
515    529    32    23    
619    574    26    19    
479    585    33    38    
494    644    66    45    
521    717    20    16    
