minx    miny    maxx    maxy    
0    482    2    613    
2    648    53    708    
2    662    15    690    
417    489    456    525    
458    655    480    671    
469    552    485    568    
477    596    493    619    
502    564    531    621    
520    518    536    534    
548    580    574    611    
557    538    581    555    
570    452    595    484    
573    576    592    600    
576    421    598    431    
613    516    627    535    
648    530    668    541    
801    687    821    703    
