minx    miny    width    height    
187    0    187    2    
484    2    212    228    
719    2    49    87    
661    14    33    44    
696    90    30    38    
549    227    23    31    
768    259    1    148    
548    261    102    192    
734    412    21    21    
640    478    17    23    
734    492    35    100    
574    525    14    17    
551    527    15    17    
617    540    53    67    
560    541    21    28    
489    563    16    23    
688    571    14    30    
496    617    21    17    
401    618    19    32    
515    623    38    36    
733    651    14    19    
405    661    10    25    
645    662    23    22    
546    666    12    16    
729    669    20    15    
436    694    20    14    
522    701    24    18    
483    727    21    16    
500    742    37    27    
594    747    35    21    
551    781    17    14    
565    794    15    14    
654    802    50    27    
719    802    22    17    
524    816    18    13    
608    832    15    15    
749    937    20    49    
735    989    15    34    
738    989    22    35    
756    989    12    34    
