minx    miny    width    height    
848    0    79    10    
209    15    17    13    
920    58    5    30    
448    153    28    18    
12    165    1    579    
275    203    21    16    
336    205    29    15    
219    212    18    14    
429    256    26    17    
115    311    12    17    
441    319    26    19    
579    330    24    34    
489    341    55    17    
245    355    81    48    
333    365    49    46    
210    411    19    13    
542    437    57    25    
554    463    33    24    
512    472    13    21    
446    501    37    9    
576    501    27    30    
152    502    19    11    
56    506    29    18    
241    506    22    18    
411    511    26    13    
509    516    78    42    
220    527    27    17    
130    541    17    24    
147    547    25    19    
339    552    34    16    
612    556    18    14    
328    578    29    15    
434    582    18    18    
494    583    26    29    
552    587    18    17    
538    595    12    21    
13    597    10    23    
89    599    44    25    
387    616    29    13    
530    662    26    30    
505    684    42    30    
421    735    28    16    
340    740    24    11    
102    759    26    23    
298    759    53    41    
168    764    17    12    
285    784    16    16    
111    785    31    33    
377    785    19    18    
527    789    24    12    
43    805    17    21    
194    812    17    23    
426    818    27    16    
14    828    22    18    
32    836    18    19    
398    871    41    21    
354    883    26    20    
571    896    18    11    
