minx    miny    width    height    
649    0    88    2    
769    2    22    16    
788    2    49    34    
187    12    1    1011    
199    12    4    46    
805    31    19    24    
257    37    61    75    
188    52    1    939    
835    117    3    186    
268    135    43    21    
693    166    21    18    
631    178    16    15    
677    281    23    13    
558    312    24    34    
825    320    12    19    
406    367    202    179    
500    395    16    13    
821    434    16    39    
731    437    24    15    
470    496    24    15    
353    498    17    28    
424    504    27    26    
519    554    13    25    
463    556    22    15    
511    574    66    45    
591    576    21    25    
633    599    16    12    
578    607    29    13    
420    610    34    28    
670    621    21    16    
338    640    24    34    
738    661    25    21    
496    665    39    30    
821    670    15    13    
630    677    30    24    
520    682    24    13    
683    684    19    11    
607    703    23    12    
496    704    29    12    
779    723    34    18    
535    736    26    17    
469    751    35    19    
538    770    36    16    
817    774    20    118    
200    787    3    53    
668    792    28    17    
411    798    21    15    
586    867    29    19    
