minx    miny    width    height    
257    0    201    2    
656    0    98    3    
691    0    147    229    
567    24    19    18    
187    42    46    132    
187    70    9    24    
639    154    65    41    
561    267    32    40    
470    313    14    21    
466    340    16    15    
751    374    32    37    
670    380    27    26    
448    417    89    98    
683    449    20    18    
613    455    21    13    
763    462    26    19    
502    472    50    39    
512    475    19    19    
723    503    27    17    
685    521    21    34    
821    536    16    32    
585    563    30    24    
721    567    24    9    
594    580    85    51    
813    600    24    34    
539    606    25    17    
691    620    16    15    
569    622    28    25    
720    638    22    30    
438    646    19    12    
526    651    16    18    
625    656    28    16    
823    661    13    20    
561    671    22    12    
686    672    33    39    
821    693    17    48    
570    698    25    15    
