minx    miny    width    height    
564    1    84    109    
751    1    85    1022    
189    2    103    78    
189    91    18    19    
205    260    246    231    
338    449    24    15    
403    474    39    18    
472    504    29    27    
432    538    62    38    
492    587    41    31    
391    592    23    17    
316    620    37    16    
319    647    22    13    
543    657    21    19    
307    678    25    15    
338    682    62    43    
315    711    29    21    
189    747    19    113    
558    778    22    25    
211    802    24    12    
509    830    16    24    
282    852    20    17    
246    864    22    13    
432    889    19    12    
456    904    22    23    
