minx    miny    width    height    
246    0    54    49    
284    0    34    14    
742    0    76    2    
694    2    143    90    
815    2    22    11    
837    2    1    120    
252    84    44    20    
656    113    56    68    
610    196    17    20    
673    217    56    45    
741    244    18    9    
648    257    16    13    
837    287    1    129    
598    301    21    16    
543    335    19    16    
735    343    29    13    
820    350    16    22    
529    367    15    18    
597    384    41    29    
709    400    44    23    
645    448    38    29    
546    460    44    25    
401    479    19    14    
663    494    38    23    
744    504    34    21    
822    511    14    16    
379    512    17    14    
788    525    21    14    
431    535    16    22    
479    535    43    38    
690    548    35    26    
771    549    56    28    
410    562    17    14    
514    587    34    24    
487    590    23    14    
368    608    26    21    
743    608    55    31    
448    612    28    22    
616    617    18    14    
411    620    33    19    
267    651    15    18    
500    655    17    24    
250    665    17    12    
515    674    21    27    
780    696    56    29    
375    699    17    14    
588    701    17    15    
602    711    18    15    
404    725    22    15    
708    733    46    10    
577    734    32    18    
699    747    28    12    
354    756    21    18    
639    769    35    20    
497    770    20    10    
607    772    30    28    
553    774    60    36    
397    803    18    17    
447    825    15    21    
513    826    19    13    
717    833    28    26    
736    843    22    13    
709    873    21    23    
476    907    23    9    
829    925    9    61    
528    942    28    16    
574    945    20    12    
820    950    10    36    
819    989    18    22    
