minx    miny    width    height    
652    1    60    83    
711    22    2    195    
654    31    13    19    
654    141    19    22    
632    320    26    15    
712    327    1    178    
620    338    31    9    
637    442    30    22    
617    470    51    42    
698    473    13    29    
662    534    21    11    
699    542    13    25    
684    578    27    25    
460    585    50    63    
623    589    36    23    
451    591    18    21    
550    592    13    30    
662    601    14    18    
514    608    19    33    
454    655    12    28    
443    663    11    23    
466    674    29    36    
580    711    16    13    
625    729    16    19    
472    740    26    27    
666    742    45    30    
540    756    24    27    
516    781    41    23    
639    819    25    18    
