minx    miny    width    height    
678    0    120    80    
188    1    44    38    
233    1    18    18    
207    41    20    15    
402    66    17    12    
351    160    65    14    
199    202    31    33    
187    208    2    80    
500    220    21    15    
410    295    20    17    
345    329    21    17    
200    346    16    16    
404    385    43    37    
187    396    3    69    
223    404    38    28    
328    404    30    13    
399    410    21    20    
219    424    24    17    
623    431    19    18    
526    438    18    22    
611    444    16    19    
476    468    25    19    
362    472    32    11    
578    482    21    30    
595    486    37    34    
197    487    24    28    
646    510    11    28    
587    512    18    21    
555    518    27    28    
486    527    32    28    
464    542    26    13    
189    543    29    63    
473    558    35    20    
546    591    54    53    
625    613    21    28    
424    634    26    27    
290    646    17    25    
639    695    20    29    
468    708    40    22    
556    724    19    14    
607    725    14    25    
515    739    15    16    
411    770    20    17    
585    782    24    17    
406    814    25    24    
188    868    14    17    
187    954    10    70    
