minx    miny    width    height    
187    1    1    177    
193    1    51    48    
791    160    22    17    
187    178    1    249    
322    222    33    18    
775    253    12    16    
403    257    32    18    
434    278    21    17    
410    286    21    11    
411    311    31    26    
355    313    26    16    
316    342    27    22    
548    367    22    35    
364    378    37    22    
187    427    1    342    
475    439    32    26    
249    451    26    15    
551    451    22    25    
466    470    18    13    
422    488    20    17    
278    542    35    18    
554    598    24    27    
331    614    19    23    
240    620    31    37    
501    621    26    17    
291    632    21    25    
477    658    13    20    
482    691    23    12    
553    736    19    61    
322    745    24    17    
527    764    24    25    
401    774    29    20    
396    796    44    38    
521    797    26    22    
187    823    1    200    
