minx    miny    width    height    
188    0    33    68    
188    1    19    37    
771    18    65    130    
836    18    2    130    
322    21    29    63    
817    24    5    32    
188    70    12    19    
352    78    21    33    
343    179    31    48    
430    338    15    28    
318    483    174    157    
516    488    44    22    
448    495    29    21    
331    516    25    19    
188    550    30    39    
464    600    58    53    
585    600    29    24    
273    624    22    15    
266    638    50    25    
448    653    42    32    
188    658    28    36    
263    671    29    28    
494    685    22    16    
302    730    23    21    
240    733    16    14    
270    740    34    22    
438    740    29    16    
305    761    25    16    
188    764    18    16    
323    785    23    18    
188    822    89    75    
365    832    83    60    
