minx    miny    width    height    
290    0    81    118    
596    0    172    2    
768    17    1    393    
599    134    15    19    
585    155    26    21    
531    179    27    14    
650    248    19    18    
679    449    24    27    
554    460    21    22    
526    524    16    12    
695    563    22    27    
683    593    13    20    
517    609    18    23    
711    626    28    24    
690    674    28    24    
714    685    31    59    
600    709    33    17    
614    727    20    12    
618    735    23    18    
557    739    25    12    
535    751    23    25    
620    814    25    19    
584    815    35    24    
