minx    miny    width    height    
380    0    182    2    
747    2    82    67    
813    41    24    22    
760    52    29    19    
823    68    13    21    
683    237    14    13    
694    255    33    39    
529    310    123    87    
698    322    19    24    
700    353    19    18    
527    365    38    28    
590    386    20    20    
614    396    53    33    
640    477    44    40    
805    509    22    16    
822    516    14    21    
431    531    43    37    
554    534    19    15    
578    539    27    24    
613    543    21    23    
745    589    23    12    
609    619    27    20    
578    640    43    34    
615    687    22    23    
188    710    2    313    
320    714    94    78    
323    794    66    47    
190    806    1    156    
400    817    158    120    
443    871    30    19    
510    965    24    10    
