minx    miny    width    height    
672    0    39    62    
571    2    141    323    
711    69    2    90    
712    159    1    123    
696    209    16    36    
540    310    13    19    
576    414    22    12    
701    458    10    39    
517    571    17    14    
657    573    16    20    
507    588    24    25    
485    628    21    21    
652    636    24    17    
564    652    18    12    
552    671    28    41    
626    672    12    22    
514    703    31    22    
682    720    19    13    
603    759    64    40    
689    794    23    20    
606    819    29    11    
