minx    miny    width    height    
657    2    96    71    
767    2    2    377    
596    238    19    22    
569    246    22    22    
541    317    20    19    
490    330    22    20    
621    350    22    25    
460    420    17    11    
417    421    26    33    
648    437    15    19    
668    438    22    25    
430    440    27    21    
473    495    14    18    
588    522    19    12    
429    523    41    40    
464    526    37    40    
585    535    19    17    
683    536    30    15    
559    563    29    24    
477    565    18    17    
616    567    15    27    
569    584    18    23    
622    594    18    17    
703    619    19    14    
441    642    30    34    
546    665    25    14    
384    666    18    21    
490    704    16    19    
453    711    15    14    
532    717    21    13    
511    743    35    19    
730    757    24    35    
647    777    12    26    
531    785    26    16    
757    821    11    56    
