minx    miny    width    height    
0    0    13    1024    
1012    0    12    1024    
684    6    45    28    
188    17    17    17    
683    63    48    28    
126    160    18    22    
106    197    22    13    
95    207    19    18    
319    246    29    27    
97    271    27    12    
270    271    19    16    
246    274    21    19    
161    288    32    27    
205    311    20    13    
207    403    15    17    
424    413    15    26    
408    439    50    23    
446    441    25    14    
241    469    19    19    
472    505    17    20    
597    507    15    30    
119    530    14    15    
97    551    13    21    
560    552    24    18    
452    554    34    39    
145    565    19    18    
171    566    15    16    
658    614    12    46    
544    619    17    15    
13    643    20    14    
14    658    32    23    
331    659    23    20    
206    682    29    10    
176    691    26    16    
283    697    37    21    
303    776    23    13    
258    780    25    26    
442    781    26    17    
78    795    22    26    
448    802    17    28    
448    839    22    21    
136    852    21    11    
606    882    17    19    
12    913    10    111    
