minx    miny    width    height    
228    0    63    2    
192    48    82    134    
583    78    35    13    
516    118    19    18    
476    162    17    16    
605    203    55    15    
459    209    15    14    
704    301    15    16    
499    304    30    24    
448    349    23    13    
516    393    50    60    
425    397    17    13    
430    415    30    26    
410    419    15    34    
613    437    41    27    
836    466    2    85    
500    469    37    49    
551    480    19    13    
394    484    40    76    
586    522    19    15    
504    539    33    40    
687    549    25    14    
371    562    16    22    
572    566    62    66    
550    594    18    18    
370    611    25    21    
413    612    16    18    
648    620    28    14    
777    623    19    11    
705    627    32    24    
577    634    19    18    
536    680    30    26    
398    693    39    37    
635    694    20    12    
680    718    18    18    
328    729    19    14    
819    742    19    18    
674    747    30    27    
785    747    29    11    
616    753    24    18    
749    761    21    17    
698    770    41    22    
669    774    24    20    
744    792    50    44    
606    805    34    28    
704    809    26    17    
578    811    19    11    
714    824    20    12    
521    830    22    12    
585    840    24    21    
510    844    24    19    
663    847    36    23    
757    853    20    12    
393    871    19    17    
719    881    18    11    
541    893    30    18    
634    896    14    19    
549    907    36    16    
827    926    12    50    
494    935    27    14    
588    955    32    18    
