minx    miny    width    height    
257    0    155    279    
256    1    1    274    
431    86    18    17    
330    194    18    23    
417    202    17    15    
501    209    28    14    
309    252    13    15    
438    294    34    33    
270    319    25    38    
256    324    1    225    
309    328    34    40    
351    329    12    18    
385    334    57    34    
392    372    45    45    
309    411    22    23    
465    415    35    32    
406    440    19    13    
272    443    20    33    
437    451    24    36    
462    458    26    20    
609    461    18    35    
566    466    16    33    
303    467    19    23    
606    479    11    23    
257    485    66    101    
414    487    20    19    
320    492    32    27    
442    495    29    28    
520    532    25    30    
584    541    44    32    
375    559    13    16    
575    568    28    23    
445    573    18    17    
387    576    19    19    
332    577    27    28    
418    588    43    43    
608    599    15    30    
482    606    26    13    
318    610    45    18    
258    623    32    65    
529    631    15    16    
342    646    24    16    
293    662    90    55    
308    713    41    34    
345    715    34    15    
501    717    28    18    
391    770    30    19    
