minx    miny    width    height    
189    0    15    21    
719    0    20    11    
674    1    24    14    
787    2    49    84    
189    22    12    20    
187    69    15    31    
643    69    108    160    
555    80    12    27    
480    235    28    12    
563    256    28    23    
726    342    60    98    
645    360    16    16    
410    384    51    71    
642    408    19    15    
768    453    24    23    
771    498    28    18    
486    504    25    11    
655    530    48    50    
608    552    41    28    
761    554    29    20    
428    612    17    13    
579    620    20    17    
659    622    33    19    
782    631    46    26    
413    634    21    12    
656    645    18    22    
813    659    23    11    
525    680    34    15    
371    690    53    21    
508    698    25    10    
468    703    32    18    
788    718    22    13    
724    729    34    18    
627    765    40    21    
522    781    67    38    
791    783    33    27    
783    831    37    14    
690    832    22    16    
