minx    miny    width    height    
655    0    113    108    
767    2    2    400    
733    5    35    32    
625    252    90    111    
695    350    33    60    
552    358    28    16    
638    378    62    39    
728    445    31    43    
702    449    25    20    
678    461    21    14    
457    500    96    146    
557    500    23    31    
531    537    19    22    
749    552    13    17    
557    562    20    17    
627    578    26    16    
577    596    19    18    
626    604    28    26    
719    618    18    16    
529    623    21    25    
600    636    19    17    
534    658    45    28    
629    687    55    21    
706    699    42    47    
672    710    20    12    
665    739    26    23    
672    752    26    28    
528    763    56    23    
575    789    21    11    
697    808    37    61    
651    825    21    21    
