minx    miny    width    height    
256    205    1    194    
343    250    68    81    
473    314    19    15    
457    367    33    13    
314    398    92    55    
258    407    27    45    
312    434    24    18    
358    473    25    19    
524    480    56    20    
295    486    41    50    
348    517    63    41    
419    521    16    20    
289    537    27    15    
373    557    18    17    
390    605    26    27    
298    607    47    29    
418    664    15    17    
432    667    44    26    
357    672    17    12    
427    673    27    18    
485    675    27    13    
409    677    24    15    
372    685    23    13    
476    687    17    15    
418    692    42    26    
258    701    21    16    
300    715    19    19    
279    716    20    23    
447    726    51    26    
354    727    17    16    
470    799    9    21    
378    835    38    26    
413    861    26    16    
