minx    miny    width    height    
757    0    17    12    
324    18    32    14    
363    76    25    17    
395    83    23    13    
189    100    18    29    
201    161    16    20    
351    184    21    12    
246    186    48    42    
477    219    35    22    
215    231    14    16    
243    234    24    22    
453    252    149    140    
460    341    20    14    
471    355    19    14    
452    403    17    17    
545    412    20    24    
479    428    23    17    
357    450    24    24    
450    472    24    14    
393    480    19    15    
415    494    15    24    
472    498    29    38    
561    501    29    23    
438    513    38    49    
408    523    27    24    
327    524    28    17    
189    547    17    20    
511    550    30    28    
432    574    20    24    
569    578    19    13    
571    593    20    11    
426    599    30    25    
275    617    50    30    
189    620    28    31    
359    624    26    22    
220    646    28    23    
283    658    18    17    
504    658    25    13    
481    688    17    11    
214    697    22    19    
384    752    48    32    
315    807    23    29    
376    812    15    27    
