minx    miny    width    height    
311    0    83    2    
484    0    82    2    
584    0    85    2    
679    0    90    2    
768    134    1    300    
670    172    18    14    
626    324    15    28    
597    340    30    15    
599    382    27    19    
607    394    18    17    
691    434    44    29    
657    446    37    25    
659    463    65    37    
604    485    27    17    
715    522    21    11    
602    529    25    26    
713    571    46    19    
636    649    29    18    
752    724    16    85    
