minx    miny    width    height    
187    0    71    3    
256    0    8    81    
499    0    146    1    
688    0    66    2    
654    1    115    154    
606    64    23    15    
567    119    74    77    
684    184    24    19    
635    185    43    34    
593    199    26    13    
577    209    19    15    
460    217    13    23    
567    226    21    14    
740    230    23    29    
654    236    35    17    
412    237    60    79    
677    248    18    42    
712    258    45    25    
572    264    24    13    
456    302    17    19    
657    303    17    17    
552    309    27    22    
615    344    17    24    
639    363    14    14    
431    364    19    35    
659    372    36    24    
663    388    24    17    
744    392    24    39    
411    430    17    26    
533    440    22    11    
615    440    22    41    
758    461    10    29    
499    488    14    24    
745    489    16    23    
360    511    15    26    
560    514    43    33    
402    518    12    28    
463    518    15    16    
604    532    19    24    
612    547    65    52    
420    549    10    22    
471    567    15    20    
526    569    37    21    
441    573    19    22    
653    611    18    13    
648    617    17    16    
575    636    72    44    
519    668    28    12    
