minx    miny    width    height    
600    0    154    1    
601    1    152    1    
725    2    33    74    
252    43    71    101    
779    82    47    45    
279    118    9    27    
262    139    59    31    
816    362    22    42    
529    389    32    19    
630    449    32    15    
491    537    18    15    
825    545    11    30    
402    553    23    39    
733    562    23    12    
418    566    15    28    
526    566    17    15    
560    572    28    21    
762    603    22    22    
450    622    28    26    
563    645    21    14    
431    655    15    21    
407    668    18    19    
639    671    22    11    
625    684    76    29    
599    699    25    10    
499    703    26    14    
440    708    12    16    
770    716    33    17    
587    722    26    8    
556    736    17    15    
456    753    17    20    
404    757    19    20    
717    777    18    13    
437    779    15    22    
423    782    62    77    
642    785    89    86    
734    803    21    14    
518    827    17    16    
