minx    miny    width    height    
257    0    50    53    
767    52    2    109    
257    54    24    49    
739    54    28    143    
257    104    12    27    
734    116    3    57    
263    192    14    19    
430    223    14    32    
405    253    23    39    
256    269    2    160    
303    286    18    21    
348    349    39    26    
319    358    59    61    
466    537    27    18    
330    599    16    12    
366    640    37    50    
423    694    37    31    
366    713    62    50    
284    802    21    16    
324    842    21    15    
