minx    miny    width    height    
484    137    17    23    
256    205    1    162    
379    344    21    20    
294    359    37    23    
332    360    17    16    
256    368    1    153    
527    377    16    15    
493    382    18    13    
356    408    39    20    
285    420    16    20    
421    440    43    43    
434    465    41    45    
326    468    25    20    
420    485    17    16    
257    518    20    33    
433    518    21    15    
379    526    24    13    
426    542    20    17    
288    572    25    21    
329    572    40    16    
572    610    37    24    
513    634    18    15    
425    648    21    11    
374    659    24    20    
431    684    28    21    
459    685    21    16    
327    698    25    18    
539    705    21    15    
674    705    31    37    
397    732    35    29    
558    738    18    15    
533    750    20    9    
478    754    38    37    
329    759    59    65    
382    769    20    21    
420    769    35    25    
257    780    10    35    
513    830    17    12    
493    842    32    14    
