minx    miny    width    height    
256    1    1    211    
257    1    82    220    
339    67    39    44    
317    104    26    28    
320    132    21    25    
312    151    9    30    
332    159    26    35    
484    221    29    14    
349    288    20    17    
510    370    18    13    
460    371    13    20    
317    378    24    28    
345    395    43    29    
328    425    20    17    
410    430    14    16    
258    464    23    23    
446    468    17    16    
425    474    19    13    
378    508    26    12    
446    527    46    25    
566    557    33    50    
290    567    18    16    
316    569    47    24    
425    596    32    15    
359    598    13    15    
502    613    26    17    
342    639    38    25    
374    640    18    13    
416    644    37    27    
409    656    30    13    
296    666    25    17    
460    712    21    13    
