minx    miny    width    height    
745    0    37    20    
805    0    18    10    
187    28    68    321    
749    31    21    13    
256    79    20    18    
752    126    15    13    
269    192    17    17    
240    205    37    30    
343    247    20    13    
238    252    64    31    
407    306    36    8    
264    324    27    12    
509    361    20    16    
587    378    23    13    
500    391    25    19    
542    398    24    12    
379    410    18    25    
446    416    209    227    
560    436    64    48    
384    504    17    17    
559    524    16    15    
468    539    28    26    
540    539    18    27    
373    542    19    21    
300    560    30    11    
280    565    23    14    
329    573    28    31    
706    580    31    46    
234    583    17    16    
676    613    12    43    
457    642    26    20    
669    676    18    14    
409    691    26    14    
375    699    40    33    
676    702    41    69    
629    744    14    15    
188    751    15    48    
491    846    26    9    
513    855    23    15    
685    856    20    25    
671    859    20    20    
577    926    40    15    
