minx    miny    width    height    
397    0    70    2    
485    82    24    20    
258    107    73    129    
256    126    2    64    
557    196    17    18    
711    253    16    23    
499    313    16    34    
574    318    26    30    
580    382    26    28    
690    433    18    18    
471    521    32    35    
587    532    21    18    
501    533    24    18    
637    611    54    41    
579    615    31    22    
467    619    15    18    
443    646    33    40    
538    647    18    14    
558    671    20    13    
719    682    20    14    
735    693    21    16    
734    709    25    20    
745    730    24    31    
625    750    25    17    
484    764    28    12    
590    778    20    11    
760    830    9    157    
