minx    miny    width    height    
187    77    1    340    
368    181    19    13    
802    201    22    15    
214    241    21    20    
301    258    47    54    
773    287    5    31    
412    360    36    18    
294    370    20    18    
390    401    26    13    
246    450    38    23    
307    458    18    18    
396    461    17    17    
311    471    19    24    
358    471    27    21    
245    476    43    30    
428    483    14    17    
268    499    30    23    
441    512    23    19    
187    558    1    262    
270    568    20    13    
525    659    18    18    
322    666    36    31    
416    673    18    27    
380    701    67    89    
459    702    36    31    
525    717    28    25    
311    759    43    27    
289    773    25    22    
188    800    16    81    
244    868    17    17    
188    956    11    56    
