minx    miny    width    height    
725    0    111    108    
811    165    25    23    
837    182    1    574    
310    190    7    26    
257    193    20    35    
690    201    20    16    
772    308    21    16    
689    398    15    19    
705    416    20    15    
726    424    30    11    
827    433    10    33    
454    451    73    39    
539    469    23    23    
456    535    28    19    
428    553    114    99    
363    567    22    26    
626    584    28    19    
555    630    19    17    
822    638    15    29    
327    640    14    16    
272    641    57    105    
594    645    36    35    
635    646    34    22    
813    666    17    16    
346    672    34    24    
506    682    87    40    
393    697    18    35    
339    703    22    15    
570    707    21    14    
340    725    34    18    
500    725    92    36    
661    729    43    22    
278    746    16    13    
295    762    56    24    
463    764    11    24    
645    765    19    23    
664    766    36    33    
688    800    21    12    
445    803    21    15    
642    804    42    13    
533    808    17    17    
760    812    25    29    
307    818    29    24    
620    829    20    26    
421    830    34    17    
824    842    14    145    
438    880    42    18    
704    887    33    15    
488    892    14    26    
826    988    12    36    
