minx    miny    width    height    
188    0    178    295    
187    1    1    249    
356    49    47    41    
210    58    193    375    
800    78    37    138    
371    224    22    12    
385    294    22    14    
481    413    29    19    
357    440    24    12    
297    458    24    28    
320    462    24    15    
440    479    24    19    
328    492    32    17    
389    496    21    26    
522    540    27    26    
560    547    13    21    
312    549    23    20    
297    557    24    21    
560    564    13    21    
325    571    16    14    
564    596    20    31    
358    605    18    18    
337    613    17    17    
473    638    43    41    
457    695    20    14    
274    706    47    24    
541    707    16    22    
336    749    44    35    
402    772    20    15    
255    827    14    17    
240    879    24    23    
