minx    miny    width    height    
256    0    232    2    
677    2    91    330    
768    42    1    392    
299    74    10    23    
545    317    20    26    
678    369    31    31    
533    400    22    28    
667    402    17    12    
525    437    18    31    
491    452    17    32    
666    469    20    16    
468    477    20    26    
739    487    29    16    
483    495    41    43    
606    515    17    25    
622    542    18    22    
520    552    19    37    
550    574    18    14    
459    580    26    21    
624    591    21    13    
666    592    17    32    
679    592    29    20    
593    622    39    20    
561    631    25    17    
746    638    21    19    
612    639    44    21    
476    646    20    13    
532    647    23    13    
578    655    24    19    
686    674    27    18    
507    701    74    37    
602    722    26    16    
721    747    22    17    
520    751    23    15    
594    822    40    7    
745    822    23    19    
