minx    miny    width    height    
256    0    99    2    
688    0    149    2    
567    1    85    46    
693    1    145    302    
837    51    1    248    
644    108    29    14    
648    230    32    19    
592    400    20    18    
426    471    21    20    
714    509    23    13    
290    531    14    35    
467    542    29    33    
449    612    13    20    
639    643    20    15    
496    651    15    24    
743    666    31    19    
578    667    26    39    
326    683    17    15    
727    708    106    97    
484    711    37    27    
553    724    31    21    
326    755    22    25    
290    769    16    24    
553    785    22    16    
653    788    17    14    
422    790    28    17    
590    810    37    19    
648    822    18    16    
716    840    11    21    
315    848    19    12    
430    862    32    19    
346    864    22    9    
358    892    20    17    
449    896    23    11    
