minx    miny    width    height    
808    9    29    66    
259    78    12    19    
763    83    19    23    
818    99    19    30    
287    131    21    17    
821    132    15    57    
226    144    19    15    
208    169    18    31    
189    234    16    23    
783    330    17    13    
462    357    15    25    
682    397    24    20    
378    452    202    187    
652    458    19    13    
615    461    42    40    
673    480    19    17    
632    561    22    14    
448    578    21    17    
461    596    24    25    
569    616    25    14    
513    654    30    35    
639    662    18    11    
511    690    22    12    
616    694    24    9    
647    697    45    19    
305    707    28    25    
333    710    32    20    
740    711    25    18    
643    720    17    13    
744    721    29    18    
354    729    12    17    
604    731    48    20    
583    732    19    19    
456    739    25    10    
816    741    20    40    
707    755    38    18    
325    761    18    31    
695    780    20    14    
547    781    30    16    
388    801    27    17    
444    802    15    13    
740    816    19    21    
439    817    40    35    
644    821    56    26    
620    823    24    19    
485    838    18    14    
523    881    68    33    
613    891    15    14    
819    892    18    16    
676    895    19    13    
544    935    66    27    
