minx    miny    width    height    
837    1    1    234    
667    51    19    15    
584    75    20    18    
700    258    23    23    
709    281    19    20    
476    285    36    27    
646    296    20    14    
608    304    26    13    
696    308    16    13    
541    310    46    24    
591    320    30    16    
701    327    40    24    
659    330    24    11    
602    352    15    12    
666    380    33    22    
431    413    38    21    
381    428    23    13    
451    440    21    11    
430    445    17    18    
381    448    39    19    
609    473    49    20    
384    481    24    33    
826    489    10    28    
732    495    22    18    
778    504    27    19    
755    510    17    25    
683    511    20    12    
549    543    19    11    
441    544    23    17    
406    557    27    23    
415    562    49    33    
718    574    31    14    
497    575    21    16    
790    575    46    16    
387    591    21    30    
803    592    34    24    
594    613    25    22    
632    624    21    13    
329    626    26    12    
392    632    17    16    
334    639    31    22    
373    640    20    11    
705    643    21    10    
573    661    24    13    
475    670    20    14    
537    670    20    15    
685    672    23    20    
381    674    13    15    
672    675    13    18    
629    678    15    20    
596    688    23    10    
778    689    50    20    
652    703    30    14    
503    704    24    18    
805    705    18    17    
429    711    28    29    
400    717    21    9    
348    718    20    12    
819    778    17    23    
751    792    33    19    
489    804    32    15    
631    820    23    15    
593    885    37    16    
