minx    miny    width    height    
187    0    263    2    
543    197    20    58    
650    264    25    27    
703    288    8    74    
603    315    18    14    
524    388    21    19    
417    423    158    198    
591    501    62    58    
652    553    18    14    
661    600    23    19    
628    608    21    17    
595    638    34    13    
608    655    39    25    
670    687    29    32    
622    730    28    22    
702    988    12    36    
681    989    10    34    
688    989    9    35    
694    989    11    35    
