minx    miny    width    height    
379    0    71    2    
564    0    74    2    
679    1    63    79    
536    2    158    161    
256    10    91    156    
256    27    2    98    
495    87    15    22    
621    116    15    21    
567    147    17    16    
721    258    23    53    
752    266    15    46    
642    359    16    36    
491    386    33    36    
422    397    17    27    
407    411    13    25    
646    417    30    28    
398    438    14    26    
459    551    23    21    
565    566    20    15    
556    589    30    20    
588    672    21    20    
614    675    20    21    
742    688    27    170    
641    701    24    26    
