minx    miny    width    height    
0    0    13    1024    
768    0    74    30    
931    0    82    1024    
1012    0    12    1024    
156    67    18    17    
90    89    18    21    
73    134    18    19    
130    163    17    13    
114    271    21    12    
450    296    22    16    
421    299    31    18    
132    322    21    19    
112    323    18    15    
105    338    31    16    
318    357    14    18    
315    396    11    16    
466    439    28    17    
311    440    10    23    
394    447    15    17    
286    463    29    29    
342    483    44    44    
387    522    18    18    
330    551    45    32    
302    563    18    19    
561    566    19    14    
488    569    17    12    
391    598    21    14    
434    623    16    19    
475    627    18    19    
555    631    29    19    
158    640    26    12    
595    650    19    33    
447    675    44    22    
371    679    19    12    
392    683    35    12    
527    683    45    33    
627    683    23    21    
585    698    42    42    
14    722    18    24    
406    726    67    33    
79    742    23    14    
481    765    22    12    
12    769    16    23    
575    786    32    52    
192    788    29    19    
96    807    28    34    
157    809    61    47    
378    817    29    21    
607    819    28    17    
506    837    62    22    
384    838    21    15    
584    853    13    24    
12    908    20    116    
