minx    miny    width    height    
12    0    139    2    
780    2    58    28    
713    28    124    199    
706    81    16    15    
837    81    1    147    
660    178    16    16    
752    213    20    13    
609    218    20    14    
801    348    21    28    
538    420    24    15    
630    423    48    41    
702    442    24    10    
392    453    31    19    
458    464    24    17    
375    472    56    44    
493    474    26    10    
497    501    19    17    
334    532    17    13    
544    535    24    21    
519    538    23    21    
365    555    15    12    
308    576    17    17    
567    595    18    17    
651    600    30    22    
371    627    36    27    
477    652    21    13    
656    690    33    17    
376    698    16    19    
627    716    24    28    
610    719    20    14    
485    733    16    21    
512    753    19    18    
796    791    26    19    
725    799    19    19    
430    803    21    13    
739    809    15    17    
525    810    20    14    
327    838    25    26    
373    847    14    23    
437    869    12    20    
359    900    17    14    
663    914    24    21    
689    917    29    28    
575    924    26    14    
594    925    45    31    
577    933    25    15    
555    940    21    24    
627    961    21    23    
683    968    20    18    
437    980    21    16    
384    1004    17    20    
523    1009    17    14    
399    1010    49    14    
555    1012    30    12    
