minx    miny    width    height    
275    1    37    22    
440    1    16    21    
544    68    25    15    
732    78    35    150    
483    114    25    40    
424    143    70    117    
553    184    20    29    
555    257    19    15    
525    266    19    24    
537    273    24    18    
513    312    18    16    
537    316    15    18    
257    398    16    19    
405    409    26    11    
455    440    24    28    
309    441    17    17    
291    448    22    17    
257    453    16    28    
278    459    23    19    
423    466    23    13    
368    492    25    29    
591    508    16    19    
489    513    25    19    
587    519    23    39    
539    525    17    28    
425    530    26    31    
590    580    11    23    
341    606    29    19    
279    608    23    24    
470    625    17    14    
310    648    27    19    
332    668    45    41    
507    671    14    13    
266    679    19    18    
272    707    22    16    
525    707    27    18    
487    715    39    26    
257    724    29    30    
257    919    12    28    
257    974    35    49    
257    998    13    26    
