minx    miny    width    height    
188    1    33    28    
278    4    22    20    
189    55    31    35    
189    156    16    17    
331    164    19    12    
307    217    16    15    
327    239    39    30    
428    266    220    187    
187    274    21    63    
403    317    17    23    
188    341    11    40    
318    360    12    24    
392    409    26    11    
538    444    42    24    
422    449    36    29    
376    473    22    10    
586    501    37    51    
624    513    19    25    
188    515    10    32    
322    529    17    14    
625    542    22    12    
276    553    40    44    
421    567    46    26    
245    585    23    18    
551    593    16    14    
217    596    127    188    
333    632    20    12    
463    644    20    16    
423    649    22    17    
446    721    26    16    
409    742    29    21    
299    781    31    24    
333    817    20    21    
569    833    25    15    
248    859    17    43    
494    863    27    9    
222    867    23    32    
187    890    32    28    
425    891    31    15    
188    915    38    18    
