minx    miny    width    height    
344    1    24    17    
256    19    1    189    
481    41    20    23    
710    46    58    151    
445    76    42    52    
428    128    37    22    
334    151    143    224    
475    175    24    18    
341    367    15    17    
549    424    18    17    
258    454    22    18    
482    488    20    17    
290    497    68    60    
353    510    17    22    
605    520    14    16    
516    552    17    16    
535    563    20    17    
414    569    25    20    
372    581    29    16    
643    586    19    24    
404    588    35    17    
480    602    28    17    
266    615    51    30    
494    623    46    25    
666    633    22    35    
467    649    27    25    
614    661    15    18    
448    673    27    18    
555    678    37    24    
478    686    26    19    
360    687    21    13    
326    690    21    21    
505    699    14    20    
273    711    16    16    
434    713    30    38    
260    721    18    24    
284    735    37    43    
496    751    63    50    
497    759    18    18    
326    762    62    83    
378    776    28    17    
432    788    33    18    
426    802    70    36    
