minx    miny    width    height    
670    0    166    2    
212    1    75    121    
837    1    1    323    
710    2    110    47    
740    143    15    17    
575    220    25    18    
523    287    24    19    
545    323    17    15    
485    334    39    23    
655    335    41    18    
620    366    17    14    
669    396    19    16    
737    397    22    13    
431    431    27    23    
484    433    22    15    
796    477    17    22    
570    585    16    16    
607    590    26    19    
778    617    49    43    
822    630    15    34    
575    637    22    26    
644    658    30    14    
621    659    24    19    
788    659    17    12    
793    689    35    42    
728    734    20    18    
