minx    miny    width    height    
256    0    69    174    
304    108    61    93    
384    315    97    90    
448    320    19    17    
486    372    28    23    
272    382    18    12    
356    408    18    15    
344    427    29    31    
452    429    18    15    
374    442    20    19    
349    455    25    22    
256    458    28    54    
532    464    16    16    
311    471    25    16    
393    471    20    12    
522    471    16    21    
331    496    17    19    
515    513    24    26    
297    561    18    14    
367    562    26    11    
358    563    18    19    
387    569    26    22    
460    573    14    22    
477    581    24    20    
430    594    29    16    
524    634    56    35    
434    636    15    21    
453    640    22    20    
435    731    13    20    
366    784    37    24    
308    793    75    49    
