minx    miny    width    height    
188    0    221    354    
721    0    77    55    
722    1    16    19    
187    69    1    230    
394    112    24    24    
743    164    17    23    
354    190    15    28    
386    218    53    42    
274    269    28    20    
441    317    16    22    
465    355    16    28    
515    356    16    13    
207    370    41    64    
559    376    21    37    
326    381    19    14    
546    381    16    25    
414    432    26    19    
383    443    34    26    
287    452    25    21    
380    455    32    16    
393    474    37    30    
386    501    22    20    
656    515    37    149    
189    535    19    23    
574    543    29    37    
188    566    23    33    
262    571    25    21    
570    583    26    24    
302    587    17    18    
433    592    17    13    
396    607    22    24    
428    607    28    17    
524    608    22    29    
618    611    20    19    
361    632    21    21    
408    634    38    39    
279    641    16    22    
578    660    37    16    
430    670    22    18    
571    679    13    26    
739    688    16    25    
342    689    35    28    
402    724    22    21    
363    740    20    22    
512    742    16    14    
188    753    38    68    
358    766    21    16    
324    767    18    25    
404    780    33    18    
361    782    74    66    
311    790    13    26    
443    791    22    13    
470    805    15    15    
326    812    21    25    
188    815    9    44    
533    821    20    13    
563    823    20    16    
582    843    19    18    
188    844    12    39    
340    851    23    19    
505    869    44    27    
192    883    18    18    
484    887    18    12    
469    893    23    12    
