minx    miny    width    height    
837    2    1    179    
235    21    81    133    
227    98    3    44    
553    147    27    29    
639    158    17    25    
572    244    23    12    
289    249    12    30    
686    310    26    22    
434    339    28    19    
768    350    21    16    
437    361    19    10    
717    365    23    13    
824    366    14    26    
627    395    24    16    
385    471    19    14    
422    471    17    25    
438    488    25    14    
545    509    36    17    
506    523    23    19    
598    523    16    15    
530    528    56    50    
828    535    9    22    
642    554    18    16    
775    563    21    11    
552    575    26    11    
620    578    21    22    
442    580    16    18    
606    596    45    24    
385    599    34    43    
499    608    36    18    
429    611    35    26    
803    633    23    13    
438    635    29    29    
828    639    9    26    
539    664    23    20    
458    667    30    22    
499    696    18    14    
317    706    30    26    
773    707    26    26    
542    716    35    10    
371    720    21    14    
483    747    36    16    
589    758    20    16    
539    767    31    31    
488    800    119    52    
623    827    34    15    
566    873    24    18    
