minx    miny    width    height    
312    0    200    2    
621    0    152    2    
805    2    32    22    
188    9    44    133    
836    83    2    359    
574    158    16    13    
479    363    11    18    
570    413    53    23    
712    428    62    52    
621    440    59    54    
502    444    67    30    
726    487    61    39    
569    501    33    19    
679    530    113    50    
516    535    36    18    
768    543    32    17    
310    589    41    35    
709    612    23    18    
429    622    13    18    
543    637    64    24    
259    638    18    18    
679    651    21    29    
826    653    10    43    
302    666    14    13    
781    673    38    20    
456    674    21    17    
509    675    22    15    
381    682    107    61    
289    687    25    32    
614    688    19    11    
747    691    24    12    
543    693    14    19    
705    701    22    17    
537    710    19    19    
562    711    22    15    
347    713    23    37    
589    727    18    16    
261    728    14    19    
480    746    34    31    
391    752    26    33    
244    757    10    20    
287    759    20    22    
324    760    28    24    
743    762    28    24    
364    763    20    19    
528    797    56    36    
302    798    25    19    
688    811    23    14    
635    812    18    18    
443    816    39    15    
470    818    32    19    
316    844    14    18    
480    846    17    29    
363    880    22    17    
536    894    44    33    
827    900    10    27    
476    956    25    15    
824    988    13    35    
807    989    8    34    
812    989    15    34    
814    989    17    34    
582    1016    22    8    
