minx    miny    width    height    
312    0    205    2    
720    0    117    2    
704    2    134    349    
837    3    1    131    
555    71    193    254    
624    78    18    16    
674    196    18    20    
490    256    21    15    
543    352    52    44    
678    364    23    12    
768    367    29    20    
638    378    58    35    
730    417    16    19    
687    427    17    11    
376    471    22    23    
747    481    22    13    
505    485    32    21    
590    486    36    25    
418    490    17    20    
438    496    18    15    
579    509    12    18    
770    517    39    13    
807    520    29    22    
698    540    62    44    
619    542    36    17    
342    555    14    17    
632    559    18    22    
817    562    19    20    
656    570    13    25    
439    577    26    19    
525    607    23    12    
480    612    22    19    
613    641    39    52    
331    659    15    23    
337    680    15    20    
373    680    19    25    
759    691    28    26    
433    697    25    15    
375    701    15    17    
360    706    16    13    
499    719    25    22    
795    745    21    22    
