minx    miny    width    height    
680    0    90    2    
612    1    191    117    
202    32    68    70    
836    117    2    350    
252    123    11    30    
206    132    45    19    
695    215    19    16    
691    232    18    22    
606    258    19    25    
669    310    33    22    
467    393    18    25    
603    412    30    17    
574    421    17    25    
577    450    15    12    
835    491    3    92    
480    527    14    14    
620    543    33    24    
484    560    19    25    
562    562    24    22    
496    574    19    18    
721    583    27    23    
485    602    20    24    
476    630    13    15    
583    642    16    11    
438    690    34    11    
683    697    19    17    
773    704    17    14    
628    717    16    17    
592    718    17    16    
533    733    22    15    
708    734    19    22    
611    736    30    13    
657    737    22    15    
672    747    17    15    
609    764    30    17    
578    777    41    16    
526    787    35    19    
496    800    36    18    
830    997    8    26    
