minx    miny    width    height    
188    0    226    331    
448    62    26    20    
436    96    24    22    
392    153    28    22    
582    328    16    16    
451    341    32    10    
312    359    19    14    
272    408    17    20    
619    423    13    32    
477    429    32    8    
440    434    24    13    
355    435    27    20    
380    452    15    16    
423    471    21    11    
432    481    21    13    
352    496    19    22    
325    498    38    30    
606    503    24    21    
438    533    20    42    
547    541    29    19    
550    552    57    102    
224    554    23    18    
292    562    104    78    
198    577    22    15    
471    591    25    16    
504    594    41    36    
264    613    24    16    
445    614    20    19    
189    619    25    17    
425    634    17    20    
265    654    18    12    
282    654    121    99    
256    667    31    21    
525    670    45    36    
202    690    27    21    
251    695    18    28    
578    707    21    18    
209    711    32    27    
458    735    37    20    
203    752    13    20    
328    758    95    49    
449    767    24    16    
568    779    41    40    
428    783    27    25    
192    786    44    41    
408    802    26    11    
250    806    33    55    
435    814    20    14    
394    825    71    26    
378    837    22    20    
491    844    35    24    
426    876    20    19    
372    877    52    22    
290    882    16    15    
481    901    51    28    
