minx    miny    width    height    
189    0    171    1    
187    1    1    251    
725    84    6    33    
694    105    57    45    
425    162    35    25    
704    179    41    23    
250    217    138    104    
234    292    25    24    
472    313    19    16    
434    320    21    14    
257    335    37    19    
448    357    15    17    
393    367    23    14    
448    382    31    23    
250    390    36    16    
307    391    24    8    
412    396    24    18    
227    401    81    76    
205    407    14    17    
438    410    29    22    
568    438    15    20    
439    441    23    12    
404    458    16    18    
258    463    55    37    
564    473    14    44    
474    485    42    35    
459    496    25    24    
189    497    12    27    
507    505    12    20    
569    507    13    24    
574    521    14    40    
199    523    18    20    
219    527    31    42    
319    527    23    17    
418    546    36    26    
393    560    21    17    
569    571    14    19    
243    576    29    36    
189    608    40    44    
316    623    20    19    
244    627    24    21    
295    630    20    22    
414    640    20    12    
398    691    54    31    
398    725    35    31    
215    743    66    53    
414    760    21    12    
369    773    43    25    
360    780    20    16    
