minx    miny    width    height    
698    0    71    2    
788    28    21    16    
188    31    8    20    
589    60    19    15    
214    137    22    16    
207    196    34    17    
690    198    18    22    
551    255    23    12    
710    282    33    66    
188    284    23    29    
632    296    31    25    
811    336    20    13    
631    349    20    11    
787    362    51    49    
435    370    19    14    
688    400    18    14    
766    400    20    25    
719    405    23    31    
712    440    35    36    
431    447    21    14    
787    448    15    16    
457    467    17    14    
441    487    14    24    
733    491    21    22    
705    501    26    16    
607    502    22    21    
537    524    20    15    
717    533    58    41    
387    569    25    32    
452    571    66    63    
576    575    20    14    
359    593    19    23    
692    613    18    19    
770    616    19    16    
347    617    23    32    
321    618    11    21    
433    621    13    15    
817    623    21    31    
377    626    31    26    
675    638    16    13    
739    646    28    31    
526    661    27    13    
403    683    31    22    
623    685    23    9    
492    691    20    13    
695    698    22    15    
450    706    27    13    
794    708    43    32    
417    729    28    16    
537    749    63    36    
283    751    24    45    
736    773    22    19    
451    806    19    17    
423    817    13    16    
401    859    23    18    
808    929    25    36    
828    999    9    25    
