minx    miny    width    height    
525    0    65    2    
631    1    21    39    
689    28    26    27    
643    31    36    59    
694    242    17    18    
536    243    19    20    
575    357    19    23    
532    378    21    19    
504    415    23    14    
473    434    15    27    
464    481    45    50    
626    587    28    43    
424    590    13    17    
602    655    19    25    
452    695    25    19    
618    704    25    24    
503    727    15    16    
685    758    22    27    
711    771    21    16    
463    773    14    16    
668    776    18    14    
559    784    18    24    
734    789    20    21    
500    794    15    18    
638    810    15    20    
565    811    23    27    
518    814    20    25    
622    826    22    17    
540    842    23    17    
701    876    21    19    
