minx    miny    width    height    
587    0    124    2    
467    2    39    19    
585    2    183    352    
601    2    90    64    
724    2    20    12    
769    2    1    341    
703    130    26    37    
744    220    21    19    
520    318    17    39    
725    384    39    65    
652    426    22    18    
628    448    22    14    
426    498    245    203    
431    509    41    40    
701    538    23    13    
649    604    80    97    
564    623    23    20    
738    636    20    22    
610    646    46    34    
716    692    16    19    
472    701    21    11    
