minx    miny    width    height    
80    0    77    21    
847    0    44    9    
765    2    24    14    
1012    36    1    758    
898    123    14    14    
1011    128    1    134    
689    182    26    15    
643    284    35    21    
446    286    24    17    
560    310    27    28    
637    326    12    16    
424    350    38    34    
337    353    22    25    
386    355    36    31    
718    364    27    10    
562    383    43    21    
664    405    23    15    
377    410    22    16    
753    425    20    12    
323    427    15    29    
431    442    18    17    
774    470    23    10    
795    475    29    16    
721    486    35    12    
677    548    16    17    
518    557    22    18    
453    558    17    22    
407    565    20    23    
963    569    21    21    
693    585    35    10    
820    587    18    17    
464    602    21    24    
816    603    21    13    
629    604    15    17    
722    611    29    13    
599    623    14    22    
436    659    17    18    
414    669    18    12    
536    671    23    16    
535    681    26    21    
413    685    57    42    
673    687    133    111    
881    695    32    37    
651    704    14    26    
793    704    22    25    
976    711    35    40    
778    722    17    22    
877    733    20    13    
596    735    16    18    
644    740    34    19    
497    750    30    18    
434    754    17    18    
871    761    27    27    
850    803    20    23    
497    806    22    12    
660    818    23    15    
357    821    22    12    
887    823    17    23    
706    826    45    28    
530    836    28    17    
574    845    25    11    
417    851    23    18    
710    860    24    16    
567    862    18    11    
741    868    37    21    
767    876    21    16    
531    887    65    26    
598    893    23    13    
995    958    17    29    
991    988    21    23    
