minx    miny    width    height    
346    0    59    23    
441    0    91    54    
511    63    15    21    
313    82    8    45    
488    219    19    32    
456    266    12    19    
313    281    12    27    
461    290    25    28    
508    307    24    27    
535    332    38    30    
476    333    16    29    
425    342    35    70    
561    370    15    16    
567    414    15    22    
400    420    13    22    
448    421    21    22    
482    456    24    24    
391    460    23    21    
373    464    26    32    
523    486    22    24    
341    495    27    14    
558    501    14    23    
594    517    10    25    
427    530    17    21    
473    531    20    16    
533    533    15    17    
424    546    20    17    
490    559    22    23    
440    574    24    29    
370    604    13    15    
519    620    41    43    
497    627    25    16    
362    647    25    19    
457    671    27    29    
497    681    50    24    
501    694    27    10    
314    695    16    22    
436    721    24    9    
379    724    25    12    
353    728    21    17    
