minx    miny    width    height    
187    0    120    1    
603    0    80    2    
722    1    46    75    
589    2    179    344    
258    69    19    69    
768    107    1    238    
258    170    15    23    
592    193    12    24    
607    291    30    17    
689    316    21    20    
559    323    20    16    
573    334    27    17    
526    342    17    13    
575    390    15    34    
558    408    15    22    
562    448    23    28    
514    454    32    44    
614    523    29    16    
623    553    16    15    
571    559    17    11    
452    578    19    16    
670    584    12    19    
467    592    20    19    
573    617    28    25    
669    620    25    23    
615    627    24    25    
461    646    20    24    
749    648    19    15    
691    652    23    19    
562    687    18    17    
643    688    19    13    
472    716    21    22    
633    727    24    14    
483    728    16    41    
616    755    21    19    
472    762    11    26    
423    769    17    21    
596    772    18    21    
444    774    19    17    
434    788    51    38    
602    795    19    16    
671    802    15    15    
728    822    20    21    
605    824    15    16    
483    825    13    18    
585    846    25    24    
462    885    21    13    
518    889    32    27    
600    898    20    23    
652    916    22    11    
493    951    19    18    
