minx    miny    width    height    
302    0    203    181    
264    1    56    34    
260    23    23    27    
260    51    21    17    
256    106    13    31    
522    262    32    34    
307    292    17    18    
382    331    13    23    
539    334    19    15    
357    357    21    25    
489    446    14    29    
455    514    14    24    
598    530    14    21    
310    552    19    21    
257    603    25    19    
581    619    29    40    
351    651    20    12    
382    657    25    18    
297    711    17    20    
364    730    22    17    
406    749    22    20    
275    860    11    31    
256    975    10    49    
